"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Coprinus micaceus","Coprinellus micaceus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus"
"Coprinus picaceus","Coprinopsis picacea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis"
"Cosmospora sp",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora"
"Craterellus cornucopioides","Craterellus cornucopioides","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Craterellus"
"Craterellus sinuosus","Craterellus undulatus","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Craterellus"
"Crepidotus cesatii","Crepidotus cesatii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus"
"Cryptococcus cistialbidi","Dimennazyma cisti-albidi","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Naemateliaceae","Dimennazyma"
"Cyathus striatus","Cyathus striatus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cyathus"
"Cystolepiota bucknallii","Cystolepiota bucknallii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota"
"Cystolepiota seminuda","Cystolepiota seminuda","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota"
"Dermocybe olivaceopicta","Cortinarius olivaceopictus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
"Entoloma nidorosum","Entoloma rhodopolium","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma"
"Entoloma placidum","Entoloma placidum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma"
"Erysiphe necator","Erysiphe necator","Fungi","Ascomycota","Leotiomycetes","Helotiales","Erysiphaceae","Erysiphe"
"Fusarium ",NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Fusarium"
"Fusarium acuminatum","Fusarium acuminatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium avenaceum","Fusarium avenaceum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium chlamydosporum","Fusarium chlamydosporum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium commune","Fusarium commune","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium culmorum","Fusarium culmorum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium equiseti","Fusarium equiseti","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium fujikuroi","Fusarium fujikuroi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium graminearum","Fusarium graminearum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium langsethiae","Fusarium langsethiae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium oxysporum","Fusarium oxysporum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium redolens","Fusarium redolens","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium sp",NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Fusarium"
"Fusarium sporotrichioides","Fusarium sporotrichioides","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Fusarium verticillioides","Fusarium fujikuroi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"Gaeumannomyces tritici","Gaeumannomyces tritici","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces"
"Galerina marginata","Galerina marginata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Galerina"
"Gibellulopsis nigrescens","Gibellulopsis nigrescens","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis"
"Gliomastix murorum","Acremonium murorum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Acremonium"
"Gymnopus aquosus","Gymnopus aquosus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus"
"Hebeloma sinapizans","Hebeloma sinapizans","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma"
"Humaria hemisphaerica","Humaria hemisphaerica","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Humaria"
"Hygrophorus chrysaspis","Hygrophorus discoxanthus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus"
"Hygrophorus discoxanthus","Hygrophorus discoxanthus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus"
"Hypholoma fasciculare","Hypholoma fasciculare","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma"
"Ilyonectria sp",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria"
"Inocybe asterospora","Inocybe asterospora","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Inocybe cervicolor","Inosperma cervicolor","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma"
"Inocybe lilacina","Inocybe geophylla","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Inocybe petiginosa","Inocybe petiginosa","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Kuehneromyces mutabilis","Kuehneromyces mutabilis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Kuehneromyces"
"Laccaria amethystina","Laccaria amethystina","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
"Laccaria laccata","Laccaria laccata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
"Lactarius blennius","Lactarius blennius","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
"Lactarius britannicus","Lactarius fulvissimus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
"Lactarius piperatus","Lactifluus piperatus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus"
"Lactarius subdulcis","Lactarius subdulcis","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
"Lepiota boudieri","Lepiota boudieri","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota"
"Lepiota castanea","Lepiota castanea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota"
"Lepiota clypeolaria","Lepiota clypeolaria","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota"
"Lepista irina","Lepista irina","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista"
"Lepista nuda","Lepista nuda","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista"
"Leptosphaeria biglobosa","Plenodomus biglobosus","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus"
"Lycoperdon pyriforme","Apioperdon pyriforme","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Apioperdon"
"Marasmius alliaceus","Mycetinis alliaceus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Mycetinis"
"Megacollybia platyphylla","Megacollybia platyphylla","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Megacollybia"
"Meripilus giganteus","Meripilus giganteus","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Meripilus"
"Merulius tremellosus","Phlebia tremellosa","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia"
"Metarhizium anisopliae","Metarhizium anisopliae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium"
"Microdochium bolleyi","Microdochium bolleyi","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Microdochium"
"Microdochium majus","Microdochium majus","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Microdochium"
"Microdochium nivale","Microdochium nivale","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Microdochium"
"Microsphaeropsis sp",NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Microsphaeropsis"
"Mortierella elongata","Linnemannia elongata","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia"
"Mucidula mucida","Mucidula mucida","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Mucidula"
"Mucor hiemalis","Mucor hiemalis","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor"
"Mutinus caninus","Mutinus caninus","Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Mutinus"
"Mycena abramsii","Mycena abramsii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Mycena galericulata","Mycena galericulata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
