"","Phylum","Class","Order","Family","Genus","Species","MockStrain","Kingdom","ITS1","Si5"
"25","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium_sp","Chaetomium_sp_MIAE00938_KY132132_1_sanger","Fungi","Chaetomium_sp_MIAE00938_KY132132_1_sangerITS1","Chaetomium_sp_MIAE00938_KY132132_1_sangerITS1Si5"
"26","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","Chloridium_sp","Chloridium_sp_MIAE01803_sanger","Fungi","Chloridium_sp_MIAE01803_sangerITS1","Chloridium_sp_MIAE01803_sangerITS1Si5"
"27","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_cladosporioides","Cladosporium_cladosporioides_MB15_C_clado_sanger","Fungi","Cladosporium_cladosporioides_MB15_C_clado_sangerITS1","Cladosporium_cladosporioides_MB15_C_clado_sangerITS1Si5"
"28","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sp","Cladosporium_sp_MB15_P_herp_sanger","Fungi","Cladosporium_sp_MB15_P_herp_sangerITS1",NA
"29","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Clavariadelphus","Clavariadelphus_pistillaris","Clavariadelphus_pistillaris_M146_sanger","Fungi","Clavariadelphus_pistillaris_M146_sangerITS1","Clavariadelphus_pistillaris_M146_sangerITS1Si5"
"30","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina","Clavulina_cinerea","Clavulina_cinerea_M172_AY292292_1_sanger","Fungi","Clavulina_cinerea_M172_AY292292_1_sangerITS1","Clavulina_cinerea_M172_AY292292_1_sangerITS1Si5"
"31","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe","Clitocybe_gibba","Clitocybe_gibba_M45_sanger","Fungi","Clitocybe_gibba_M45_sangerITS1","Clitocybe_gibba_M45_sangerITS1Si5"
"32","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe","Clitocybe_metachroa","Clitocybe_metachroa_M216_sanger","Fungi","Clitocybe_metachroa_M216_sangerITS1","Clitocybe_metachroa_M216_sangerITS1Si5"
"33","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe","Clitocybe_umbilicata","Clitocybe_umbilicata_M119_KT934393_1_sanger","Fungi","Clitocybe_umbilicata_M119_KT934393_1_sangerITS1","Clitocybe_umbilicata_M119_KT934393_1_sangerITS1Si5"
"34","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_capsici","Colletotrichum_capsici_MB15_C_cap_sanger","Fungi","Colletotrichum_capsici_MB15_C_cap_sangerITS1","Colletotrichum_capsici_MB15_C_cap_sangerITS1Si5"
"35","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_cingulata","Colletotrichum_cingulata_MB15_G_cing_sanger","Fungi","Colletotrichum_cingulata_MB15_G_cing_sangerITS1","Colletotrichum_cingulata_MB15_G_cing_sangerITS1Si5"
"36","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_coccodes","Colletotrichum_coccodes_MIAE01515_sanger","Fungi","Colletotrichum_coccodes_MIAE01515_sangerITS1","Colletotrichum_coccodes_MIAE01515_sangerITS1Si5"
"37","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_destructivum","Colletotrichum_destructivum_MB15_C_dest1_sanger","Fungi","Colletotrichum_higginsianum_MB15_C_hig5_sangerITS1",NA
"38","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_gloeosporioides","Colletotrichum_gloeosporioides_MB15_C_glo_sanger","Fungi","Colletotrichum_gloeosporioides_MB15_C_glo_sangerITS1","Colletotrichum_gloeosporioides_MB15_C_glo_sangerITS1Si5"
"39","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_graminicola","Colletotrichum_graminicola_MB15_C_gra_sanger","Fungi","Colletotrichum_graminicola_MB15_C_gra_sangerITS1","Colletotrichum_graminicola_MB15_C_gra_sangerITS1Si5"
"40","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_higginsianum","Colletotrichum_higginsianum_MB15_C_hig5_sanger","Fungi","Colletotrichum_higginsianum_MB15_C_hig5_sangerITS1","Colletotrichum_higginsianum_MB15_C_hig5_sangerITS1Si5"
"41","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_lagenarium","Colletotrichum_lagenarium_MB15_C_lag_sanger","Fungi","Colletotrichum_lagenarium_MB15_C_lag_sangerITS1","Colletotrichum_lagenarium_MB15_C_lag_sangerITS1Si5"
"42","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_linicola","Colletotrichum_linicola_MB15_C_lini_sanger","Fungi","Colletotrichum_linicola_MB15_C_lini_sangerITS1",NA
"43","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_malvarum","Colletotrichum_malvarum_MB15_C_mal_sanger","Fungi","Colletotrichum_malvarum_MB15_C_mal_sangerITS1","Colletotrichum_malvarum_MB15_C_mal_sangerITS1Si5"
"44","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_trifolii","Colletotrichum_trifolii_MB15_C_tri_sanger","Fungi","Colletotrichum_trifolii_MB15_C_tri_sangerITS1","Colletotrichum_trifolii_MB15_C_tri_sangerITS1Si5"
"45","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_truncatum","Colletotrichum_truncatum_MB15_C_tru_sanger","Fungi","Colletotrichum_truncatum_MB15_C_tru_sangerITS1",NA
"46","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Collybia","Collybia_confluens","Collybia_confluens_M79_JX029935_1_HQ533036_1_sanger","Fungi","Collybia_confluens_M79_JX029935_1_HQ533036_1_sangerITS1","Collybia_confluens_M79_JX029935_1_HQ533036_1_sangerITS1Si5"
"47","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Collybia","Collybia_peronata","Collybia_peronata_M82_KX513747_1_sanger","Fungi","Collybia_peronata_M82_KX513747_1_sangerITS1",NA
"48","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis_lagopus","Coprinopsis_lagopus_M166_JF907845_1_sanger","Fungi","Coprinopsis_lagopus_M166_JF907845_1_sangerITS1","Coprinopsis_lagopus_M166_JF907845_1_sangerITS1Si5"
"49","Basidiomycota","Agaricomycetes","Agaricales","Coprinaceae","Coprinus","Coprinus_atramentarius","Coprinus_atramentarius_M222_sanger","Fungi","Coprinus_atramentarius_M222_sangerITS1","Coprinus_atramentarius_M222_sangerITS1Si5"
"50","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus","Coprinus_micaceus","Coprinus_micaceus_M215_sanger","Fungi","Coprinus_micaceus_M215_sangerITS1","Coprinus_micaceus_M215_sangerITS1Si5"
"51","Basidiomycota","Agaricomycetes","Agaricales","Coprinaceae","Coprinus","Coprinus_picaceus","Coprinus_picaceus_M83_FN396115_1_rm_sanger","Fungi","Coprinus_picaceus_M83_FN396115_1_rm_sangerITS1","Coprinus_picaceus_M83_FN396115_1_rm_sangerITS1Si5"
"52","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_sp","Cosmospora_sp_MIAE01410_sanger","Fungi","Cosmospora_sp_MIAE01410_sangerITS1","Cosmospora_sp_MIAE01410_sangerITS1Si5"
"53","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus","Craterellus_cornucopioides","Craterellus_cornucopioides_M66_GU590927_1_sanger","Fungi","Craterellus_cornucopioides_M76_GU590927_1_sangerITS1",NA
"54","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus","Craterellus_cornucopioides","Craterellus_cornucopioides_M76_GU590927_1_sanger","Fungi","Craterellus_cornucopioides_M76_GU590927_1_sangerITS1","Craterellus_cornucopioides_M76_GU590927_1_sangerITS1Si5"
