"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Cortinarius rufoolivaceus","Cortinarius rufo-olivaceus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
"Leccinum scabrum","Leccinum scabrum","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Leccinum"
"Mycena galericulata","Mycena galericulata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Lachnella alboviolascens","Lachnella alboviolascens","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Niaceae","Lachnella"
"Pluteus romellii","Pluteus romellii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus"
"Amanita supravolvata","Amanita supravolvata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"Hypholoma lateritium","Hypholoma lateritium","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma"
"Amanita olivaceogrisea","Amanita olivaceogrisea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"Tubaria furfuracea","Tubaria furfuracea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tubariaceae","Tubaria"
"Exidia candida","Exidia candida","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Exidiaceae","Exidia"
"Septobasidium carestianum","Septobasidium carestianum","Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium"
"Cortinarius prasinocyaneus","Phlegmacium prasinocyaneum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Phlegmacium"
"Calonarius prasinus","Calonarius prasinus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Calonarius"
"Hebeloma lutense","Hebeloma cavipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma"
"Flammulina velutipes","Flammulina velutipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Flammulina"
"Scytinostroma portentosum","Scytinostroma portentosum","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Scytinostroma"
"Russula roseoaurantia","Russula roseoaurantia","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula aurora","Russula aurora","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula brunneoviolacea","Russula brunneoviolacea","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula recondita","Russula recondita","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula pelargonia","Russula pelargonia","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula tinctipes","Russula tinctipes","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula ionochlora","Russula ionochlora","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula maculata","Russula maculata","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula medullata","Russula medullata","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
